"seqname","start","end","strand","num_mutation","region","gene_symbol"
"CHR15",99501260,99501287,"+",5,"3UTR","IGF1R"
"CHR15",99500692,99500735,"+",1,"3UTR","IGF1R"
"CHR15",99504948,99504990,"+",1,"3UTR","IGF1R"
"CHR15",99500428,99500466,"+",2,"CDS","IGF1R"
"CHR15",99501295,99501333,"+",2,"3UTR","IGF1R"
"CHR15",99500473,99500489,"+",1,"CDS","IGF1R"
"CHR15",99502694,99502722,"+",1,"3UTR","IGF1R"
"CHR15",99500771,99500785,"+",13,"3UTR","IGF1R"
"CHR15",99454592,99454617,"+",3,"CDS","IGF1R"
"CHR15",99505275,99505296,"+",1,"3UTR","IGF1R"
"CHR15",99504795,99504804,"+",1,"3UTR","IGF1R"
"CHR15",99500502,99500556,"+",3,"CDS","IGF1R"
"CHR15",99500949,99500974,"+",2,"3UTR","IGF1R"
"CHR15",99504850,99504866,"+",1,"3UTR","IGF1R"
"CHR15",99250961,99250985,"+",1,"CDS","IGF1R"
"CHR15",99501864,99501877,"+",2,"3UTR","IGF1R"
"CHR15",99502184,99502196,"+",1,"3UTR","IGF1R"
"CHR15",99500742,99500766,"+",2,"3UTR","IGF1R"
"CHR15",99451945,99451959,"+",1,"CDS","IGF1R"
"CHR15",99506196,99506209,"+",1,"3UTR","IGF1R"
"CHR15",99501076,99501097,"+",2,"3UTR","IGF1R"
"CHR15",99504348,99504370,"+",1,"3UTR","IGF1R"
"CHR3",49572353,49572372,"+",2,"3UTR","DAG1"
"CHR3",49570694,49570718,"+",1,"3UTR","DAG1"
"CHR3",49572707,49572726,"+",3,"3UTR","DAG1"
"CHR3",49506173,49506184,"+",1,"5UTR","DAG1"
"CHR3",49568280,49568305,"+",1,"CDS","DAG1"
"CHR3",49570035,49570071,"+",13,"CDS","DAG1"
"CHR3",49572727,49572745,"+",2,"3UTR","DAG1"
"CHR3",49569844,49569866,"+",6,"CDS","DAG1"
"CHR3",49570888,49570907,"+",1,"3UTR","DAG1"
"CHR3",49572565,49572578,"+",1,"3UTR","DAG1"
"CHR3",49570472,49570494,"+",1,"CDS","DAG1"
"CHR3",49570098,49570121,"+",1,"CDS","DAG1"
"CHR3",49548005,49548031,"+",1,"CDS","DAG1"
"CHR3",49569266,49569340,"+",1,"CDS","DAG1"
"CHR3",49570183,49570221,"+",2,"CDS","DAG1"
"CHR3",49569031,49569061,"+",2,"CDS","DAG1"
"CHR3",49568410,49568431,"+",1,"CDS","DAG1"
"CHR3",49569103,49569118,"+",3,"CDS","DAG1"
"CHR3",49570618,49570644,"+",1,"3UTR","DAG1"
"CHR3",49568237,49568269,"+",2,"CDS","DAG1"
"CHR3",49570007,49570018,"+",5,"CDS","DAG1"
"CHR3",49570072,49570091,"+",8,"CDS","DAG1"
"CHR3",49572416,49572451,"+",2,"3UTR","DAG1"
"CHR3",49571000,49571009,"+",1,"3UTR","DAG1"
"CHR3",49547973,49547990,"+",1,"CDS","DAG1"
"CHR3",49547948,49547967,"+",1,"5UTR","DAG1"
"CHR3",49568492,49568520,"+",1,"CDS","DAG1"
"CHR3",49569166,49569187,"+",1,"CDS","DAG1"
"CHR3",49570919,49570952,"+",1,"3UTR","DAG1"
"CHR3",49570723,49570814,"+",13,"3UTR","DAG1"
"CHR3",49568435,49568484,"+",2,"CDS","DAG1"
"CHR3",49568529,49568565,"+",1,"CDS","DAG1"
"CHR3",49569524,49569547,"+",1,"CDS","DAG1"
"CHR3",49571011,49571031,"+",3,"3UTR","DAG1"
"CHR3",49569967,49569992,"+",2,"CDS","DAG1"
"CHR17",46128513,46128526,"+",2,"CDS","NFE2L1"
"CHR17",46135737,46135760,"+",2,"CDS","NFE2L1"
"CHR17",46138317,46138341,"+",1,"3UTR","NFE2L1"
"CHR17",46137834,46137862,"+",1,"3UTR","NFE2L1"
"CHR17",46136419,46136451,"+",8,"CDS","NFE2L1"
"CHR17",46128370,46128388,"+",1,"5UTR","NFE2L1"
"CHR17",46128272,46128289,"+",1,"5UTR","NFE2L1"
"CHR17",46136834,46136856,"+",1,"CDS","NFE2L1"
"CHR17",46138177,46138194,"+",1,"3UTR","NFE2L1"
"CHR17",46138157,46138172,"+",1,"3UTR","NFE2L1"
"CHR17",46136910,46136937,"+",1,"CDS","NFE2L1"
"CHR17",46136514,46136536,"+",2,"CDS","NFE2L1"
"CHR17",46136280,46136313,"+",2,"CDS","NFE2L1"
"CHR17",46125783,46125794,"+",1,"5UTR","NFE2L1"
"CHR17",46138030,46138067,"+",1,"3UTR","NFE2L1"
"CHR17",46137888,46137908,"+",2,"3UTR","NFE2L1"
"CHR17",46128772,46128792,"+",1,"CDS","NFE2L1"
"CHR17",46136746,46136771,"+",1,"CDS","NFE2L1"
"CHR17",46135873,46135932,"+",6,"CDS","NFE2L1"
"CHR17",46137618,46137643,"+",1,"3UTR","NFE2L1"
"CHR17",46136334,46136346,"+",1,"CDS","NFE2L1"
"CHR17",46136032,46136050,"+",2,"CDS","NFE2L1"
"CHR17",46128694,46128720,"+",8,"CDS","NFE2L1"
"CHR17",46135812,46135829,"+",4,"CDS","NFE2L1"
"CHR17",46137112,46137130,"+",1,"3UTR","NFE2L1"
"CHR17",46136868,46136896,"+",1,"CDS","NFE2L1"
"CHR17",46137172,46137189,"+",1,"3UTR","NFE2L1"
"CHR17",46137924,46137944,"+",1,"3UTR","NFE2L1"
"CHR17",46135795,46135811,"+",4,"CDS","NFE2L1"
"CHR17",46128577,46128603,"+",1,"CDS","NFE2L1"
"CHR17",46128749,46128769,"+",1,"CDS","NFE2L1"
"CHR17",46137069,46137093,"+",12,"3UTR","NFE2L1"
"CHR20",61833873,61833913,"-",57,"CDS","YTHDF1"
"CHR20",61833995,61834048,"-",24,"CDS","YTHDF1"
"CHR20",61834233,61834276,"-",5,"CDS","YTHDF1"
"CHR20",61833790,61833862,"-",46,"CDS","YTHDF1"
"CHR20",61834543,61834656,"-",83,"CDS","YTHDF1"
"CHR20",61834803,61834817,"-",2,"CDS","YTHDF1"
"CHR20",61827855,61827875,"-",1,"3UTR","YTHDF1"
"CHR20",61845238,61845260,"-",36,"CDS","YTHDF1"
"CHR20",61833718,61833732,"-",5,"CDS","YTHDF1"
"CHR20",61834774,61834800,"-",10,"CDS","YTHDF1"
"CHR20",61834055,61834096,"-",40,"CDS","YTHDF1"
"CHR20",61828061,61828085,"-",2,"3UTR","YTHDF1"
"CHR20",61834410,61834500,"-",76,"CDS","YTHDF1"
"CHR20",61834888,61834908,"-",1,"CDS","YTHDF1"
"CHR20",61845216,61845234,"-",20,"CDS","YTHDF1"
"CHR20",61833923,61833993,"-",20,"CDS","YTHDF1"
"CHR20",61834332,61834349,"-",2,"CDS","YTHDF1"
"CHR20",61834099,61834114,"-",9,"CDS","YTHDF1"
"CHR20",61834211,61834232,"-",11,"CDS","YTHDF1"
"CHR20",61827975,61828005,"-",6,"3UTR","YTHDF1"
"CHR20",61834380,61834405,"-",2,"CDS","YTHDF1"
"CHR20",61833747,61833773,"-",1,"CDS","YTHDF1"
"CHR20",61834136,61834207,"-",26,"CDS","YTHDF1"
"CHR20",61834968,61835038,"-",260,"CDS","YTHDF1"
"CHR20",61835051,61835083,"-",12,"CDS","YTHDF1"
"CHR20",61847218,61847240,"-",1,"CDS","YTHDF1"
"CHR20",61835090,61835154,"-",53,"CDS","YTHDF1"
"CHR20",61827076,61827093,"-",1,"3UTR","YTHDF1"
"CHR20",61834676,61834767,"-",63,"CDS","YTHDF1"
"CHR20",61833656,61833684,"-",9,"CDS","YTHDF1"
"CHR20",61834912,61834959,"-",19,"CDS","YTHDF1"
"CHR8",8747611,8747626,"-",2,"CDS","MFHAS1"
"CHR8",8748112,8748142,"-",2,"CDS","MFHAS1"
"CHR8",8749370,8749448,"-",2,"CDS","MFHAS1"
"CHR8",8747627,8747642,"-",1,"CDS","MFHAS1"
"CHR8",8748699,8748727,"-",2,"CDS","MFHAS1"
"CHR8",8643463,8643503,"-",5,"3UTR","MFHAS1"
"CHR8",8749559,8749573,"-",1,"CDS","MFHAS1"
"CHR8",8750543,8750559,"-",1,"CDS","MFHAS1"
"CHR8",8750158,8750193,"-",2,"CDS","MFHAS1"
"CHR8",8748433,8748497,"-",6,"CDS","MFHAS1"
"CHR8",8748518,8748545,"-",4,"CDS","MFHAS1"
"CHR8",8749208,8749224,"-",1,"CDS","MFHAS1"
"CHR8",8748236,8748271,"-",1,"CDS","MFHAS1"
"CHR8",8749154,8749207,"-",2,"CDS","MFHAS1"
"CHR8",8748200,8748227,"-",1,"CDS","MFHAS1"
"CHR8",8750346,8750371,"-",2,"CDS","MFHAS1"
"CHR8",8750450,8750481,"-",4,"CDS","MFHAS1"
"CHR8",8748638,8748657,"-",1,"CDS","MFHAS1"
"CHR8",8643289,8643308,"-",3,"3UTR","MFHAS1"
"CHR8",8748845,8748864,"-",1,"CDS","MFHAS1"
"CHR8",8643313,8643323,"-",1,"3UTR","MFHAS1"
"CHR8",8748733,8748759,"-",1,"CDS","MFHAS1"
"CHR8",8643324,8643372,"-",1,"3UTR","MFHAS1"
"CHR8",8749508,8749527,"-",2,"CDS","MFHAS1"
"CHR8",8750308,8750329,"-",1,"CDS","MFHAS1"
"CHR8",8749663,8749690,"-",1,"CDS","MFHAS1"
"CHR8",8748593,8748616,"-",1,"CDS","MFHAS1"
"CHR8",8654874,8654911,"-",1,"CDS","MFHAS1"
"CHR8",8750035,8750053,"-",1,"CDS","MFHAS1"
"CHR16",88807938,88807955,"-",1,"CDS","PIEZO1"
"CHR16",88788276,88788295,"-",1,"CDS","PIEZO1"
"CHR16",88830706,88830727,"-",2,"Intron","PIEZO1"
"CHR16",88828977,88828993,"-",1,"Intron","PIEZO1"
"CHR16",88829875,88829897,"-",1,"Intron","PIEZO1"
"CHR16",88829965,88829985,"-",1,"Intron","PIEZO1"
"CHR16",88783729,88783747,"-",5,"Intron","PIEZO1"
"CHR16",88818460,88818485,"-",1,"Intron","PIEZO1"
"CHR16",88829415,88829429,"-",10,"Intron","PIEZO1"
"CHR16",88808731,88808753,"-",11,"CDS","PIEZO1"
"CHR16",88830443,88830483,"-",1,"Intron","PIEZO1"
"CHR16",88802567,88802591,"-",1,"CDS","PIEZO1"
"CHR16",88851234,88851258,"-",1,"Intron","PIEZO1"
"CHR16",88830804,88830821,"-",1,"Intron","PIEZO1"
"CHR16",88826587,88826607,"-",1,"Intron","PIEZO1"
"CHR16",88829275,88829292,"-",1,"Intron","PIEZO1"
"CHR16",88801099,88801118,"-",1,"CDS","PIEZO1"
"CHR16",88804721,88804746,"-",21,"CDS","PIEZO1"
"CHR16",88793497,88793514,"-",1,"CDS","PIEZO1"
"CHR16",88788332,88788352,"-",1,"CDS","PIEZO1"
"CHR16",88786001,88786014,"-",2,"CDS","PIEZO1"
"CHR16",88782024,88782060,"-",1,"CDS","PIEZO1"
"CHR16",88793964,88793995,"-",1,"CDS","PIEZO1"
"CHR16",88804428,88804452,"-",1,"CDS","PIEZO1"
"CHR16",88820324,88820346,"-",1,"Intron","PIEZO1"
"CHR16",88818418,88818436,"-",1,"Intron","PIEZO1"
"CHR16",88781982,88782010,"-",1,"3UTR","PIEZO1"
"CHR5",1052263,1052288,"-",1,"3UTR","SLC12A7"
"CHR5",1051595,1051613,"-",1,"3UTR","SLC12A7"
"CHR5",1076808,1076820,"-",2,"CDS","SLC12A7"
"CHR5",1075513,1075527,"-",1,"CDS","SLC12A7"
"CHR5",1075545,1075561,"-",1,"CDS","SLC12A7"
"CHR5",1051197,1051228,"-",2,"3UTR","SLC12A7"
"CHR5",1051996,1052024,"-",3,"3UTR","SLC12A7"
"CHR5",1052151,1052170,"-",1,"3UTR","SLC12A7"
"CHR5",1052116,1052140,"-",1,"3UTR","SLC12A7"
"CHR5",1052095,1052110,"-",2,"3UTR","SLC12A7"
"CHR5",1051949,1051985,"-",14,"3UTR","SLC12A7"
"CHR5",1073788,1073805,"-",2,"CDS","SLC12A7"
"CHR5",1077991,1078020,"-",1,"CDS","SLC12A7"
"CHR5",1051473,1051527,"-",3,"3UTR","SLC12A7"
"CHR5",1052224,1052256,"-",2,"3UTR","SLC12A7"
"CHR5",1051306,1051343,"-",5,"3UTR","SLC12A7"
"CHR5",1052453,1052475,"-",3,"3UTR","SLC12A7"
"CHR5",1076844,1076882,"-",1,"CDS","SLC12A7"
"CHR5",1081698,1081712,"-",1,"CDS","SLC12A7"
"CHR5",1051348,1051389,"-",4,"3UTR","SLC12A7"
"CHR5",1076327,1076338,"-",1,"CDS","SLC12A7"
"CHR5",1051450,1051467,"-",1,"3UTR","SLC12A7"
"CHR5",1051250,1051277,"-",4,"3UTR","SLC12A7"
"CHR5",1051912,1051935,"-",2,"3UTR","SLC12A7"
"CHR5",1052051,1052070,"-",2,"3UTR","SLC12A7"
"CHR5",1050731,1050745,"-",1,"3UTR","SLC12A7"
"CHR5",1078050,1078072,"-",1,"CDS","SLC12A7"
"CHR16",30736041,30736064,"+",17,"CDS","SRCAP"
"CHR16",30735147,30735171,"+",1,"CDS","SRCAP"
"CHR16",30749704,30749733,"+",2,"CDS","SRCAP"
"CHR16",30735543,30735565,"+",1,"CDS","SRCAP"
"CHR16",30750241,30750274,"+",2,"CDS","SRCAP"
"CHR16",30736006,30736037,"+",5,"CDS","SRCAP"
"CHR16",30735366,30735395,"+",1,"CDS","SRCAP"
"CHR16",30750616,30750626,"+",1,"CDS","SRCAP"
"CHR16",30735880,30735903,"+",1,"CDS","SRCAP"
"CHR16",30736219,30736230,"+",1,"CDS","SRCAP"
"CHR16",30744726,30744740,"+",2,"CDS","SRCAP"
"CHR16",30735237,30735258,"+",1,"CDS","SRCAP"
"CHR16",30749624,30749649,"+",1,"CDS","SRCAP"
"CHR16",30735836,30735872,"+",1,"CDS","SRCAP"
"CHR16",30748555,30748572,"+",1,"CDS","SRCAP"
"CHR16",30712075,30712092,"+",1,"5UTR","SRCAP"
"CHR16",30722961,30722993,"+",1,"CDS","SRCAP"
"CHR16",30749298,30749332,"+",3,"CDS","SRCAP"
"CHR16",30736098,30736125,"+",5,"CDS","SRCAP"
"CHR16",30750277,30750314,"+",8,"CDS","SRCAP"
"CHR16",30734347,30734367,"+",2,"CDS","SRCAP"
"CHR16",30735194,30735216,"+",1,"CDS","SRCAP"
"CHR16",30736280,30736325,"+",3,"CDS","SRCAP"
"CHR16",30749475,30749514,"+",2,"CDS","SRCAP"
"CHR16",30750398,30750426,"+",2,"CDS","SRCAP"
"CHR16",30751082,30751113,"+",1,"3UTR","SRCAP"
"CHR16",30749337,30749354,"+",1,"CDS","SRCAP"
"CHR17",80196944,80196965,"+",10,"3UTR","SLC16A3"
"CHR17",80195500,80195517,"+",1,"CDS","SLC16A3"
"CHR17",80194624,80194644,"+",1,"CDS","SLC16A3"
"CHR17",80196766,80196803,"+",5,"CDS","SLC16A3"
"CHR17",80195904,80195924,"+",1,"Intron","SLC16A3"
"CHR17",80195791,80195802,"+",1,"Intron","SLC16A3"
"CHR17",80194648,80194675,"+",3,"CDS","SLC16A3"
"CHR17",80196913,80196927,"+",2,"3UTR","SLC16A3"
"CHR17",80196966,80196987,"+",13,"3UTR","SLC16A3"
"CHR17",80193981,80194000,"+",2,"CDS","SLC16A3"
"CHR17",80195530,80195544,"+",2,"CDS","SLC16A3"
"CHR17",80195884,80195902,"+",1,"Intron","SLC16A3"
"CHR17",80195297,80195314,"+",1,"CDS","SLC16A3"
"CHR17",80195456,80195472,"+",7,"CDS","SLC16A3"
"CHR17",80197220,80197265,"+",3,"3UTR","SLC16A3"
"CHR17",80197061,80197096,"+",1,"3UTR","SLC16A3"
"CHR17",80195761,80195782,"+",1,"CDS","SLC16A3"
"CHR17",80195236,80195260,"+",1,"CDS","SLC16A3"
"CHR17",80197291,80197315,"+",1,"3UTR","SLC16A3"
"CHR17",80196267,80196279,"+",1,"Intron","SLC16A3"
"CHR17",80196557,80196608,"+",1,"CDS","SLC16A3"
"CHR17",80195568,80195597,"+",29,"CDS","SLC16A3"
"CHR17",80195334,80195363,"+",3,"CDS","SLC16A3"
"CHR17",80193962,80193974,"+",1,"CDS","SLC16A3"
"CHR17",80195193,80195218,"+",3,"CDS","SLC16A3"
"CHR17",80195072,80195117,"+",1,"CDS","SLC16A3"
"CHR15",75503857,75503871,"+",1,"3UTR","C15orf39"
"CHR15",75498898,75498916,"+",2,"CDS","C15orf39"
"CHR15",75500719,75500730,"+",1,"CDS","C15orf39"
"CHR15",75500533,75500576,"+",1,"CDS","C15orf39"
"CHR15",75503484,75503504,"+",1,"3UTR","C15orf39"
"CHR15",75500371,75500388,"+",1,"CDS","C15orf39"
"CHR15",75500801,75500824,"+",3,"CDS","C15orf39"
"CHR15",75500921,75500947,"+",1,"CDS","C15orf39"
"CHR15",75500496,75500517,"+",1,"CDS","C15orf39"
"CHR15",75500417,75500461,"+",3,"CDS","C15orf39"
"CHR15",75500748,75500770,"+",1,"CDS","C15orf39"
"CHR15",75499976,75500012,"+",6,"CDS","C15orf39"
"CHR15",75499338,75499349,"+",1,"CDS","C15orf39"
"CHR15",75498876,75498895,"+",2,"CDS","C15orf39"
"CHR15",75501101,75501133,"+",2,"CDS","C15orf39"
"CHR15",75500780,75500797,"+",1,"CDS","C15orf39"
"CHR15",75500973,75501007,"+",2,"CDS","C15orf39"
"CHR15",75498848,75498866,"+",3,"CDS","C15orf39"
"CHR15",75494263,75494285,"+",1,"5UTR","C15orf39"
"CHR15",75499473,75499517,"+",1,"CDS","C15orf39"
"CHR15",75503394,75503450,"+",1,"CDS","C15orf39"
"CHR15",75499921,75499943,"+",9,"CDS","C15orf39"
"CHR15",75503357,75503376,"+",1,"CDS","C15orf39"
"CHR15",75498752,75498812,"+",1,"CDS","C15orf39"
"CHR15",75501138,75501163,"+",1,"CDS","C15orf39"
"CHR15",75499023,75499037,"+",1,"CDS","C15orf39"
"CHR16",19127829,19127838,"+",1,"3UTR","ITPRIPL2"
"CHR16",19126616,19126636,"+",2,"CDS","ITPRIPL2"
"CHR16",19126658,19126719,"+",15,"CDS","ITPRIPL2"
"CHR16",19128958,19128971,"+",3,"3UTR","ITPRIPL2"
"CHR16",19125815,19125865,"+",4,"CDS","ITPRIPL2"
"CHR16",19126508,19126530,"+",3,"CDS","ITPRIPL2"
"CHR16",19126379,19126400,"+",1,"CDS","ITPRIPL2"
"CHR16",19126003,19126028,"+",1,"CDS","ITPRIPL2"
"CHR16",19127399,19127445,"+",4,"3UTR","ITPRIPL2"
"CHR16",19127576,19127626,"+",1,"3UTR","ITPRIPL2"
"CHR16",19127125,19127179,"+",12,"CDS","ITPRIPL2"
"CHR16",19125738,19125758,"+",1,"5UTR","ITPRIPL2"
"CHR16",19127032,19127056,"+",1,"CDS","ITPRIPL2"
"CHR16",19126238,19126263,"+",1,"CDS","ITPRIPL2"
"CHR16",19126075,19126097,"+",1,"CDS","ITPRIPL2"
"CHR16",19126270,19126300,"+",2,"CDS","ITPRIPL2"
"CHR16",19126132,19126161,"+",1,"CDS","ITPRIPL2"
"CHR16",19126771,19126795,"+",1,"CDS","ITPRIPL2"
"CHR16",19126799,19126882,"+",6,"CDS","ITPRIPL2"
"CHR16",19125794,19125810,"+",1,"CDS","ITPRIPL2"
"CHR16",19126918,19126935,"+",2,"CDS","ITPRIPL2"
"CHR16",19126172,19126197,"+",1,"CDS","ITPRIPL2"
"CHR16",19126570,19126587,"+",6,"CDS","ITPRIPL2"
"CHR16",19127214,19127236,"+",1,"CDS","ITPRIPL2"
"CHR16",19126045,19126072,"+",3,"CDS","ITPRIPL2"
"CHR7",5427451,5427501,"-",1,"CDS","TNRC18"
"CHR7",5347279,5347305,"-",130,"3UTR","TNRC18"
"CHR7",5427546,5427588,"-",1,"CDS","TNRC18"
"CHR7",5346949,5346970,"-",1,"3UTR","TNRC18"
"CHR7",5410828,5410854,"-",2,"CDS","TNRC18"
"CHR7",5410476,5410508,"-",5,"CDS","TNRC18"
"CHR7",5391532,5391599,"-",1,"CDS","TNRC18"
"CHR7",5410378,5410405,"-",1,"CDS","TNRC18"
"CHR7",5410607,5410643,"-",1,"CDS","TNRC18"
"CHR7",5410335,5410364,"-",2,"CDS","TNRC18"
"CHR7",5410516,5410541,"-",6,"CDS","TNRC18"
"CHR7",5460691,5460709,"-",1,"CDS","TNRC18"
"CHR7",5410711,5410765,"-",1,"CDS","TNRC18"
"CHR7",5396779,5396798,"-",1,"CDS","TNRC18"
"CHR7",5355690,5355705,"-",2,"CDS","TNRC18"
"CHR7",5410875,5410896,"-",2,"CDS","TNRC18"
"CHR7",5410180,5410191,"-",1,"CDS","TNRC18"
"CHR7",5417564,5417592,"-",1,"CDS","TNRC18"
"CHR7",5410899,5410981,"-",1,"CDS","TNRC18"
"CHR7",5427374,5427402,"-",1,"CDS","TNRC18"
"CHR7",5347436,5347458,"-",9,"3UTR","TNRC18"
"CHR7",5430231,5430258,"-",1,"CDS","TNRC18"
"CHR7",5391052,5391071,"-",3,"Intron","TNRC18"
"CHR7",5417152,5417171,"-",3,"CDS","TNRC18"
"CHR7",5427706,5427733,"-",64,"CDS","TNRC18"
"CHR17",80559999,80560015,"+",3,"3UTR","FOXK2"
"CHR17",80561925,80561947,"+",1,"3UTR","FOXK2"
"CHR17",80559467,80559525,"+",3,"3UTR","FOXK2"
"CHR17",80543919,80543942,"+",1,"CDS","FOXK2"
"CHR17",80559403,80559448,"+",1,"3UTR","FOXK2"
"CHR17",80544954,80544978,"+",1,"CDS","FOXK2"
"CHR17",80562033,80562054,"+",1,"3UTR","FOXK2"
"CHR17",80560071,80560101,"+",3,"3UTR","FOXK2"
"CHR17",80544005,80544036,"+",1,"CDS","FOXK2"
"CHR17",80561950,80561968,"+",1,"3UTR","FOXK2"
"CHR17",80561289,80561303,"+",1,"3UTR","FOXK2"
