chr,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockSizes,blockStarts,geneID,ReadsCount.input,ReadsCount.IP,log2FoldChange,pvalue,padj
chr4,435264,435639,peak_16,93.68493835,-,435264,435639,0,1,375,0,ZNF721,89,584,2.765844609,3.23E-29,6.28E-29
chr4,420073,420548,peak_17,110.6342969,-,420073,420548,0,1,475,0,ZNF721,60,634,3.286603733,2.31E-34,4.96E-34
chr7,48685282,48685357,peak_18,26.75554959,+,48685282,48685357,0,1,75,0,ABCA13,19,153,2.853073588,8.24E-09,8.83E-09
chr7,48685407,48685457,peak_19,26.29792706,+,48685407,48685457,0,1,50,0,ABCA13,22,161,2.695339368,1.14E-08,1.21E-08
chr9,139902135,139902886,peak_20,89.43194865,-,139902135,139902886,0,2,"281,19","0,732",ABCA2,309,1469,1.697309106,6.33E-28,1.20E-27
chr19,1065277,1065570,peak_21,167.5061033,+,1065277,1065570,0,1,293,0,ABCA7,191,1613,2.53997911,1.34E-51,3.76E-51
chr1,229653828,229654078,peak_22,68.19496548,-,229653828,229654078,0,1,250,0,ABCB10,42,358,3.142765961,1.81E-21,2.96E-21
chr7,150725534,150725634,peak_23,25.98316966,+,150725534,150725634,0,1,100,0,ABCB8,65,326,1.801558138,1.42E-08,1.51E-08
chr7,150742736,150742886,peak_24,31.1792987,+,150742736,150742886,0,1,150,0,ABCB8,36,248,2.373342115,3.61E-10,4.11E-10
chr12,123444433,123444783,peak_25,61.31293407,-,123444433,123444783,0,1,350,0,ABCB9,48,494,2.789043906,2.25E-19,3.49E-19
chr12,123414209,123414334,peak_26,26.05396043,-,123414209,123414334,0,1,125,0,ABCB9,17,183,2.888036618,1.35E-08,1.44E-08
chr16,16232403,16236917,peak_27,Inf,+,16232403,16236917,0,2,"121,888","0,2626",ABCC1,1154,10538,3.091942146,0,0
chr6,43400337,43400912,peak_28,115.6831581,+,43400337,43400912,0,1,575,0,ABCC10,43,772,3.628168723,6.78E-36,1.50E-35
chr17,48768467,48768742,peak_29,77.23359402,+,48768467,48768742,0,1,275,0,ABCC3,112,640,2.39782415,3.23E-24,5.63E-24
chr3,183702553,183702603,peak_30,23.87167008,-,183702553,183702603,0,1,50,0,ABCC5,19,147,2.632368024,6.32E-08,6.51E-08
chr3,183702278,183702428,peak_31,39.25093428,-,183702278,183702428,0,1,150,0,ABCC5,29,233,2.843721867,1.21E-12,1.53E-12
chr12,21951473,21951798,peak_32,153.0731361,-,21951473,21951798,0,1,325,0,ABCC9,307,1488,2.270237427,3.15E-47,8.33E-47
chr12,21951248,21951448,peak_33,131.3370213,-,21951248,21951448,0,1,200,0,ABCC9,436,1500,1.806245606,1.21E-40,2.91E-40
chrX,152990372,152990697,peak_34,72.71332447,+,152990372,152990697,0,1,325,0,ABCD1,321,1346,1.530785211,7.63E-23,1.29E-22
chrX,152991022,152991497,peak_35,236.7888698,+,152991022,152991497,0,1,475,0,ABCD1,318,2444,2.405570903,1.43E-72,5.24E-72
chrX,153009452,153009752,peak_36,80.01479982,+,153009452,153009752,0,1,300,0,ABCD1,412,1629,1.442283299,4.60E-25,8.19E-25
chr14,74752804,74753204,peak_37,80.83468869,-,74752804,74753204,0,1,400,0,ABCD4,113,640,2.379901389,2.59E-25,4.64E-25
chr7,150910829,150911229,peak_38,448.9613792,-,150910829,150911229,0,1,400,0,ABCF2,618,4218,2.422873077,1.08E-136,7.07E-136
chr7,150910229,150910579,peak_39,171.2538263,-,150910229,150910579,0,1,350,0,ABCF2,240,1382,2.417739909,9.80E-53,2.80E-52
chr3,183911398,183911795,peak_40,144.1593148,+,183911398,183911795,0,1,397,0,ABCF3,233,1586,2.295878796,1.58E-44,4.02E-44
chr3,111705841,111710491,peak_41,126.5840053,+,111705841,111710491,0,2,"57,268","0,4382",ABHD10,282,1233,2.070135154,3.36E-39,7.84E-39
chr7,73150424,73150724,peak_42,189.7276206,-,73150424,73150724,0,1,300,0,ABHD11,202,1403,2.65661,2.51E-58,7.70E-58
chr20,25275653,25281420,peak_43,242.8557806,-,25275653,25281420,0,2,"13,587","0,5180",ABHD12,375,2549,2.284782264,2.09E-74,7.82E-74
chr13,108870937,108882626,peak_44,604.0555461,+,108870937,108882626,0,2,"701,080","0,10609",ABHD13,316,3447,3.415002499,1.54E-183,1.45E-182
chr3,52014865,52015215,peak_45,114.404558,+,52014865,52015215,0,1,350,0,ABHD14A,128,974,2.551817691,1.66E-35,3.64E-35
chr3,52005762,52005812,peak_46,28.67254427,-,52005762,52005812,0,1,50,0,ABHD14B,75,317,1.77960358,2.12E-09,2.34E-09
chr17,27889763,27893112,peak_47,88.07508681,-,27889763,27893112,0,2,"341,9","0,3340",ABHD15,68,695,2.829369536,1.63E-27,3.07E-27
chr17,27889038,27889713,peak_48,194.6218741,-,27889038,27889713,0,1,675,0,ABHD15,137,1366,3.014384694,8.27E-60,2.59E-59
chr17,27888488,27888888,peak_49,130.3913391,-,27888488,27888888,0,1,400,0,ABHD15,75,801,3.298921362,2.35E-40,5.60E-40
chr17,27887938,27888238,peak_50,70.75664168,-,27887938,27888238,0,1,300,0,ABHD15,65,467,2.755475241,3.01E-22,5.01E-22
chr20,62492565,62492890,peak_51,71.59891197,+,62492565,62492890,0,1,325,0,ABHD16B,127,762,2.135102803,1.67E-22,2.80E-22
chr20,62493365,62493790,peak_52,88.60473509,+,62493365,62493790,0,1,425,0,ABHD16B,93,834,2.592800843,1.13E-27,2.12E-27
chr15,89738558,89738858,peak_53,74.62593414,+,89738558,89738858,0,1,300,0,ABHD2,54,544,2.903599216,2.00E-23,3.43E-23
chr18,19231407,19231457,peak_54,23.79163049,-,19231407,19231457,0,1,50,0,ABHD3,36,160,2.180436366,6.69E-08,6.89E-08
chr14,23079806,23080306,peak_55,223.8568388,+,23079806,23080306,0,1,500,0,ABHD4,425,2198,2.166505324,1.18E-68,4.10E-68
chr3,43743913,43743963,peak_56,27.80922618,+,43743913,43743963,0,1,50,0,ABHD5,37,202,2.278782661,3.92E-09,4.25E-09
chr3,43759329,43760114,peak_57,61.76701816,+,43759329,43760114,0,2,"20,180","0,605",ABHD5,89,487,2.375282645,1.64E-19,2.55E-19
chr3,58279318,58280068,peak_58,597.0524705,+,58279318,58280068,0,1,750,0,ABHD6,481,3980,2.941387403,2.01E-181,1.86E-180
chr19,17412050,17412275,peak_59,41.23728987,-,17412050,17412275,0,1,225,0,ABHD8,70,444,2.083092232,2.99E-13,3.86E-13
chr19,17411700,17411925,peak_60,49.26355033,-,17411700,17411925,0,1,225,0,ABHD8,114,600,1.890677238,1.06E-15,1.48E-15
chr2,204291937,204292062,peak_61,38.74329062,+,204291937,204292062,0,1,125,0,ABI2,83,364,2.024568819,1.73E-12,2.17E-12
chr2,204292137,204292537,peak_62,95.17042344,+,204292137,204292537,0,1,400,0,ABI2,75,588,2.943636746,1.14E-29,2.24E-29
chr9,133589267,133589817,peak_63,421.1684023,+,133589267,133589817,0,1,550,0,ABL1,263,2505,3.200667859,2.65E-128,1.64E-127
chr9,133759599,133759649,peak_64,71.13108712,+,133759599,133759649,0,1,50,0,ABL1,367,1425,1.415571923,2.31E-22,3.87E-22
chr9,133759699,133760224,peak_65,213.9944439,+,133759699,133760224,0,1,525,0,ABL1,1036,4205,1.489442475,1.13E-65,3.81E-65
chr9,133760324,133761924,peak_66,Inf,+,133760324,133761924,0,1,1600,0,ABL1,1878,14377,2.439701872,0,0
chr1,179077736,179078461,peak_67,278.4456,-,179077736,179078461,0,1,725,0,ABL2,263,2126,2.764945739,3.59E-85,1.51E-84
chr1,179076536,179077711,peak_68,951.0599029,-,179076536,179077711,0,1,1175,0,ABL2,594,6143,3.18516977,2.88E-288,5.04E-287
chr10,116195743,116197638,peak_69,377.0849585,-,116195743,116197638,0,2,"389,36","0,1859",ABLIM1,501,2965,2.494504493,5.53E-115,3.06E-114
chr10,116195293,116195668,peak_70,101.9611476,-,116195293,116195668,0,1,375,0,ABLIM1,192,921,2.167281268,9.92E-32,2.03E-31
chr10,116191318,116191418,peak_71,32.62669454,-,116191318,116191418,0,1,100,0,ABLIM1,54,261,2.166237094,1.30E-10,1.51E-10
chr4,8009522,8009797,peak_72,80.3885102,-,8009522,8009797,0,1,275,0,ABLIM2,69,594,2.752744666,3.54E-25,6.32E-25
chr17,909008,910453,peak_73,429.2886949,-,909008,910453,0,2,"401,49","0,1396",ABR,578,4099,2.457764794,9.36E-131,5.91E-130
chr17,906833,907633,peak_74,539.0781593,-,906833,907633,0,1,800,0,ABR,471,4160,2.9132298,6.45E-164,5.26E-163
chr6,26598564,26599239,peak_75,467.6372945,+,26598564,26599239,0,1,675,0,ABT1,623,4285,2.534036815,2.43E-142,1.69E-141
chr11,34379277,34379552,peak_76,46.71385009,-,34379277,34379552,0,1,275,0,ABTB2,38,373,2.69873912,6.38E-15,8.66E-15
chr11,34378852,34379227,peak_77,182.1287312,-,34378852,34379227,0,1,375,0,ABTB2,183,1643,2.623645028,5.01E-56,1.49E-55
chr18,47329177,47339842,peak_78,26.0287119,-,47329177,47339842,0,2,"46,4","0,10661",ACAA2,141,512,1.34375206,1.38E-08,1.46E-08
chr17,35766572,35766697,peak_79,29.62574454,-,35766572,35766697,0,1,125,0,ACACA,16,200,2.976467555,1.08E-09,1.21E-09
chr17,35443926,35444301,peak_80,199.1831392,-,35443926,35444301,0,1,375,0,ACACA,511,2335,1.974322877,3.44E-61,1.10E-60
chr17,35442576,35442876,peak_81,100.6676644,-,35442576,35442876,0,1,300,0,ACACA,277,1143,1.911067404,2.45E-31,4.97E-31
chr17,35441926,35442201,peak_82,94.83860507,-,35441926,35442201,0,1,275,0,ACACA,308,1140,1.805058201,1.44E-29,2.82E-29
chr12,109577326,109577451,peak_83,49.169699,+,109577326,109577451,0,1,125,0,ACACB,63,427,2.352058126,1.13E-15,1.58E-15
chr12,109577476,109577751,peak_84,93.93063476,+,109577476,109577751,0,1,275,0,ACACB,93,842,2.677399461,2.72E-29,5.30E-29
chr12,109705306,109705556,peak_85,53.99885648,+,109705306,109705556,0,1,250,0,ACACB,25,368,3.290297156,3.82E-17,5.56E-17
chr12,112182739,112183964,peak_86,35.03049329,+,112182739,112183964,0,2,"108,17","0,1208",ACAD10,95,415,1.812506708,2.38E-11,2.85E-11
chr12,112194354,112194729,peak_87,59.11825809,+,112194354,112194729,0,1,375,0,ACAD10,103,627,2.121055671,1.05E-18,1.60E-18
chr12,112194779,112194829,peak_88,32.88637658,+,112194779,112194829,0,1,50,0,ACAD10,70,312,1.970802281,1.08E-10,1.26E-10
chr3,132378846,132378946,peak_89,32.50190746,-,132378846,132378946,0,1,100,0,ACAD11,14,167,3.310552616,1.42E-10,1.64E-10
chr11,134134870,134135545,peak_90,201.3772595,+,134134870,134135545,0,1,675,0,ACAD8,127,1235,3.196973715,7.43E-62,2.40E-61
chr3,128598682,128598832,peak_91,45.08867841,+,128598682,128598832,0,1,150,0,ACAD9,141,549,1.734272237,2.00E-14,2.67E-14
chr3,128631506,128631706,peak_92,158.1002255,+,128631506,128631706,0,1,200,0,ACAD9,627,2411,1.634733757,9.43E-49,2.55E-48
chr12,121177269,121177469,peak_93,43.38461696,+,121177269,121177469,0,1,200,0,ACADS,76,476,2.068587531,6.62E-14,8.71E-14
chr10,124814915,124815190,peak_94,146.4227309,+,124814915,124815190,0,1,275,0,ACADSB,209,1162,2.404175761,3.26E-45,8.36E-45
chr10,124815565,124815665,peak_95,41.59924405,+,124815565,124815665,0,1,100,0,ACADSB,134,462,1.759987537,2.32E-13,3.00E-13
chr1,1228113,1228288,peak_96,40.24832965,-,1228113,1228288,0,1,175,0,ACAP3,144,632,1.599798111,6.01E-13,7.66E-13
chr1,226334229,226340317,peak_97,602.8504301,-,226334229,226340317,0,2,"293,282","0,5806",ACBD3,755,4655,2.564035926,3.56E-183,3.34E-182
chr17,43220937,43221012,peak_98,25.35610909,+,43220937,43221012,0,1,75,0,ACBD4,37,219,2.143306034,2.22E-08,2.33E-08
chr1,180471881,180471931,peak_99,23.78157427,-,180471881,180471931,0,1,50,0,ACBD6,58,298,1.756368323,6.74E-08,6.93E-08
chr1,180471431,180471481,peak_100,108.8418756,-,180471431,180471481,0,1,50,0,ACBD6,655,2458,1.366056004,8.10E-34,1.72E-33
chr12,50475678,50475853,peak_101,43.33750212,+,50475678,50475853,0,1,175,0,ACCN2,53,338,2.417115081,6.84E-14,9.00E-14
chr11,44105413,44105513,peak_102,27.8340206,+,44105413,44105513,0,1,100,0,ACCS,11,147,3.332817841,3.85E-09,4.18E-09
chr9,19451273,19451623,peak_103,76.8239827,+,19451273,19451623,0,1,350,0,ACER2,27,393,3.740221605,4.30E-24,7.48E-24
chr11,76730816,76731363,peak_104,35.58107518,+,76730816,76731363,0,2,"4,46","0,501",ACER3,68,303,2.074512784,1.61E-11,1.95E-11
chr11,76731388,76731513,peak_105,37.68359013,+,76731388,76731513,0,1,125,0,ACER3,63,309,2.175340823,3.66E-12,4.53E-12
chr14,23564705,23564823,peak_106,27.16005782,-,23564705,23564823,0,1,118,0,ACIN1,66,320,1.793822327,6.20E-09,6.67E-09
chr14,23564555,23564605,peak_107,27.4214513,-,23564555,23564605,0,1,50,0,ACIN1,25,176,2.557435033,5.15E-09,5.56E-09
chr14,23564480,23564530,peak_108,27.15583365,-,23564480,23564530,0,1,50,0,ACIN1,33,204,2.307275823,6.22E-09,6.69E-09
chr14,23540661,23540736,peak_109,52.69429504,-,23540661,23540736,0,1,75,0,ACIN1,234,827,1.594981214,9.57E-17,1.37E-16
chr14,23527798,23527898,peak_110,37.79955143,-,23527798,23527898,0,1,100,0,ACIN1,84,333,1.980016691,3.37E-12,4.18E-12
chr7,96747154,96810643,peak_111,226.858588,+,96747154,96810643,0,2,"55,320","0,63169",ACN9,201,1463,2.8853988,1.45E-69,5.11E-69
chr22,41865128,41895771,peak_112,67.46506427,+,41865128,41895771,0,2,"58,42","0,30601",ACO2,217,907,1.748998406,3.02E-21,4.91E-21
chr22,41924577,41924993,peak_113,Inf,+,41924577,41924993,0,1,416,0,ACO2,807,9636,3.438167315,0,0
chr1,55074799,55074874,peak_114,24.59759396,+,55074799,55074874,0,1,75,0,ACOT11,5,134,4.071539957,3.79E-08,3.94E-08
chr6,24667262,24667412,peak_115,98.16227923,+,24667262,24667412,0,1,150,0,ACOT13,364,1565,1.63629706,1.41E-30,2.82E-30
chr14,74035777,74036202,peak_116,103.7618771,+,74035777,74036202,0,1,425,0,ACOT2,110,881,2.611373893,2.82E-32,5.82E-32
chr4,8368458,8372660,peak_117,117.356767,-,8368458,8372660,0,2,"349,26","0,4176",ACOX3,93,828,2.925276776,2.11E-36,4.70E-36
chr11,47260877,47264275,peak_118,449.2408053,-,47260877,47264275,0,2,"923,2","0,3396",ACP2,212,2916,3.454066626,8.85E-137,5.82E-136
chr3,141006166,141012055,peak_119,944.5527884,+,141006166,141012055,0,2,"129,946","0,4943",ACPL2,613,5939,3.166809324,2.64E-286,4.58E-285
chr16,89167083,89167408,peak_120,90.42355017,+,89167083,89167408,0,1,325,0,ACSF3,152,1004,2.168240371,3.16E-28,6.02E-28
chr16,89167633,89167733,peak_121,45.10006951,+,89167633,89167733,0,1,100,0,ACSF3,260,953,1.339152464,1.98E-14,2.65E-14
chr16,89220633,89220683,peak_122,29.81885293,+,89220633,89220683,0,1,50,0,ACSF3,133,503,1.457063323,9.44E-10,1.06E-09
chr16,89220708,89220808,peak_123,28.65467433,+,89220708,89220808,0,1,100,0,ACSF3,150,559,1.369831134,2.15E-09,2.37E-09
chr4,185677448,185677648,peak_124,47.64715667,-,185677448,185677648,0,1,200,0,ACSL1,49,324,2.581565105,3.31E-15,4.54E-15
chr2,223799274,223806558,peak_125,219.0145073,+,223799274,223806558,0,2,"131,344","0,6940",ACSL3,797,2680,1.767954668,3.44E-67,1.18E-66
chrX,108887188,108887413,peak_126,64.33492101,-,108887188,108887413,0,1,225,0,ACSL4,123,545,2.15233555,2.70E-20,4.30E-20
chr20,33515051,33515201,peak_127,81.73043655,+,33515051,33515201,0,1,150,0,ACSS2,443,1521,1.438623421,1.38E-25,2.49E-25
chr7,5567103,5567478,peak_128,Inf,-,5567103,5567478,0,1,375,0,ACTB,25141,94541,1.826869725,0,0
chr17,79477521,79477821,peak_129,Inf,-,79477521,79477821,0,1,300,0,ACTG1,10903,63692,2.45470794,0,0
chr1,18152447,18152722,peak_130,92.71409177,+,18152447,18152722,0,1,275,0,ACTL8,111,879,2.447755619,6.38E-29,1.23E-28
chr19,8808425,8808475,peak_131,21.13593995,-,8808425,8808475,0,1,50,0,ACTL9,11,141,2.950365694,4.30E-07,4.34E-07
chr19,8808000,8808200,peak_132,42.55564865,-,8808000,8808200,0,1,200,0,ACTL9,9,261,4.185461956,1.18E-13,1.55E-13
chr14,69341264,69341589,peak_133,149.7318263,-,69341264,69341589,0,1,325,0,ACTN1,529,1914,1.756892578,3.24E-46,8.44E-46
chr19,39220742,39220867,peak_134,74.37496566,+,39220742,39220867,0,1,125,0,ACTN4,563,1278,1.316490687,2.39E-23,4.08E-23
chr10,104240110,104240685,peak_135,336.813319,-,104240110,104240685,0,1,575,0,ACTR1A,451,3120,2.421385776,8.15E-103,4.07E-102
chr10,104238985,104239160,peak_136,81.64101338,-,104238985,104239160,0,1,175,0,ACTR1A,348,1358,1.559973672,1.47E-25,2.65E-25
chr2,65495753,65496003,peak_137,170.5120819,+,65495753,65496003,0,1,250,0,ACTR2,651,2197,1.718429584,1.65E-52,4.69E-52
chr20,37400385,37400835,peak_138,233.7707565,+,37400385,37400835,0,1,450,0,ACTR5,72,1255,3.997576618,1.17E-71,4.25E-71
chr3,53902518,53904037,peak_139,117.00176,-,53902518,53904037,0,2,"371,29","0,1490",ACTR8,188,970,2.313101947,2.71E-36,6.01E-36
chr2,158593657,158595031,peak_140,330.7476399,-,158593657,158595031,0,2,"520,80","0,1294",ACVR1,129,1844,3.75170332,5.57E-101,2.72E-100
chr12,52387856,52388356,peak_141,185.8257367,+,52387856,52388356,0,1,500,0,ACVR1B,103,1355,3.208708743,3.81E-57,1.15E-56
chr12,52388656,52388731,peak_142,26.24290069,+,52388656,52388731,0,1,75,0,ACVR1B,62,297,1.804697419,1.18E-08,1.26E-08
chr2,148684724,148685124,peak_143,71.57898396,+,148684724,148685124,0,1,400,0,ACVR2A,18,349,4.186603762,1.69E-22,2.84E-22
chr3,38524660,38525010,peak_144,68.91054436,+,38524660,38525010,0,1,350,0,ACVR2B,61,456,2.777402759,1.10E-21,1.80E-21
chr3,38525060,38525510,peak_145,110.8106053,+,38525060,38525510,0,1,450,0,ACVR2B,86,717,2.936703695,2.04E-34,4.39E-34
chr3,38525535,38525585,peak_146,23.8169994,+,38525535,38525585,0,1,50,0,ACVR2B,36,206,2.122450017,6.57E-08,6.77E-08
chr14,75520077,75528401,peak_147,69.13484655,-,75520077,75528401,0,2,"285,15","0,8309",ACYP1,102,517,2.351279183,9.36E-22,1.54E-21
chr12,112338516,112338566,peak_148,24.2845451,+,112338516,112338566,0,1,50,0,ADAM1,9,112,3.379741511,4.72E-08,4.89E-08
chr12,112338666,112338741,peak_149,26.76163093,+,112338666,112338741,0,1,75,0,ADAM1,8,118,3.66449744,8.21E-09,8.79E-09
chr15,58889234,58889809,peak_150,271.7367163,-,58889234,58889809,0,1,575,0,ADAM10,375,2063,2.467639285,3.85E-83,1.58E-82
chr1,155035085,155035210,peak_151,50.6076454,+,155035085,155035210,0,1,125,0,ADAM15,226,906,1.47659842,4.14E-16,5.83E-16
chr2,9630060,9633038,peak_152,426.4783684,-,9630060,9633038,0,3,"587,51,12","0,1169,2966",ADAM17,279,2598,3.155831122,6.59E-130,4.14E-129
chr7,87826019,87826069,peak_153,25.73421732,+,87826019,87826069,0,1,50,0,ADAM22,9,110,3.506634716,1.70E-08,1.79E-08
chr7,87826344,87826394,peak_154,17.46854918,+,87826344,87826394,0,1,50,0,ADAM22,9,74,2.949958237,5.50E-06,5.51E-06
chr7,87828844,87828894,peak_155,28.54081248,+,87828844,87828894,0,1,50,0,ADAM22,26,184,2.573268829,2.33E-09,2.56E-09
chr21,28217252,28217602,peak_156,85.07802542,-,28217252,28217602,0,1,350,0,ADAMTS1,95,795,2.509947025,1.33E-26,2.45E-26
chr21,28209830,28210765,peak_157,249.8250192,-,28209830,28210765,0,2,"767,8","0,927",ADAMTS1,149,1520,3.269724802,1.63E-76,6.24E-76
chr11,130343838,130344013,peak_158,39.09944516,+,130343838,130344013,0,1,175,0,ADAMTS15,13,251,3.604306823,1.35E-12,1.70E-12
chr4,73414288,73414363,peak_159,36.86267929,-,73414288,73414363,0,1,75,0,ADAMTS3,33,239,2.679370835,6.53E-12,8.00E-12
chr4,73148660,73149260,peak_160,162.0484491,-,73148660,73149260,0,1,600,0,ADAMTS3,65,867,3.647251823,6.01E-50,1.65E-49
chr21,28337626,28337826,peak_161,40.80787518,-,28337626,28337826,0,1,200,0,ADAMTS5,28,281,2.88382788,4.05E-13,5.20E-13
chr21,28296205,28296280,peak_162,23.80408521,-,28296205,28296280,0,1,75,0,ADAMTS5,2,128,5.550824885,6.63E-08,6.83E-08
chr21,28296130,28296180,peak_163,26.70744811,-,28296130,28296180,0,1,50,0,ADAMTS5,4,124,4.6262806,8.53E-09,9.13E-09
chr5,64447512,64447637,peak_164,30.9426758,-,64447512,64447637,0,1,125,0,ADAMTS6,10,147,3.624857869,4.27E-10,4.85E-10
chr15,79058598,79058648,peak_165,21.77487042,-,79058598,79058648,0,1,50,0,ADAMTS7,3,125,4.543590751,2.75E-07,2.79E-07
chr1,150526031,150526256,peak_166,63.44010913,+,150526031,150526256,0,1,225,0,ADAMTSL4,98,664,2.226107488,5.07E-20,7.99E-20
chr19,1505591,1505991,peak_167,101.8838689,-,1505591,1505991,0,1,400,0,ADAMTSL5,93,761,2.740241946,1.05E-31,2.14E-31
chr17,29284937,29285362,peak_168,88.83051684,+,29284937,29285362,0,1,425,0,ADAP2,32,479,3.719506324,9.63E-28,1.82E-27
chr17,29285787,29285862,peak_169,27.15955029,+,29285787,29285862,0,1,75,0,ADAP2,4,126,4.615217702,6.20E-09,6.67E-09
chr17,29285912,29285987,peak_170,24.45619033,+,29285912,29285987,0,1,75,0,ADAP2,0,114,8.211485874,4.19E-08,4.34E-08
chr1,154574563,154578492,peak_171,474.6953586,-,154574563,154578492,0,2,"539,11","0,3918",ADAR,1426,6045,1.875056682,1.78E-144,1.27E-143
chr1,154571033,154574463,peak_172,Inf,-,154571033,154574463,0,2,"28,947","0,2483",ADAR,3713,27520,2.792330529,0,0
chr1,154557033,154557706,peak_173,863.0516416,-,154557033,154557706,0,2,"486,14","0,659",ADAR,1072,6678,2.564509829,1.01E-261,1.57E-260
chr1,154554533,154554733,peak_174,65.28511708,-,154554533,154554733,0,1,200,0,ADAR,114,531,2.210752544,1.39E-20,2.22E-20
chr21,46595813,46596513,peak_175,Inf,+,46595813,46596513,0,1,700,0,ADARB1,872,10042,3.159395206,0,0
chr21,46642058,46642308,peak_176,64.13257192,+,46642058,46642308,0,1,250,0,ADARB1,115,743,2.134880376,3.12E-20,4.95E-20
chr21,46645633,46645758,peak_177,38.40617845,+,46645633,46645758,0,1,125,0,ADARB1,81,355,1.995877345,2.20E-12,2.75E-12
chr21,46645858,46646358,peak_178,307.0871183,+,46645858,46646358,0,1,500,0,ADARB1,357,2395,2.651001316,7.88E-94,3.61E-93
chr16,75646232,75646607,peak_179,273.6034719,-,75646232,75646607,0,1,375,0,ADAT1,439,2635,2.346612593,1.05E-83,4.34E-83
chr16,75633346,75634171,peak_180,511.1063517,-,75633346,75634171,0,1,825,0,ADAT1,341,3139,3.140465059,1.82E-155,1.39E-154
chr16,75632796,75632996,peak_181,64.99063135,-,75632796,75632996,0,1,200,0,ADAT1,106,519,2.291134747,1.71E-20,2.73E-20
chr19,1905397,1911997,peak_182,28.37672563,+,1905397,1911997,0,2,"41,109","0,6491",SCAMP4,24,223,2.573051556,2.62E-09,2.87E-09
chr19,1913172,1913372,peak_183,40.49412913,+,1913172,1913372,0,1,200,0,SCAMP4,21,279,3.09639086,5.05E-13,6.46E-13
chr19,1924328,1924403,peak_184,26.66728137,+,1924328,1924403,0,1,75,0,SCAMP4,94,411,1.55276493,8.78E-09,9.38E-09
chr19,1925453,1925703,peak_185,98.86693428,+,1925453,1925703,0,1,250,0,SCAMP4,383,1643,1.59948727,8.62E-31,1.73E-30
chr7,140373427,140374027,peak_186,358.3117229,+,140373427,140374027,0,1,600,0,ADCK2,364,3200,2.643890357,2.59E-109,1.37E-108
chr1,227152801,227153386,peak_187,91.56867411,+,227152801,227153386,0,2,"310,15","0,570",ADCK3,299,1411,1.697327777,1.42E-28,2.72E-28
chr19,41197833,41197933,peak_188,34.63047395,-,41197833,41197933,0,1,100,0,ADCK4,91,459,1.757557059,3.15E-11,3.76E-11
chr19,41197583,41197808,peak_189,48.58446872,-,41197583,41197808,0,1,225,0,ADCK4,107,582,1.93829652,1.71E-15,2.37E-15
chr2,25141284,25141884,peak_190,264.1120909,-,25141284,25141884,0,1,600,0,ADCY3,491,3052,2.1286399,7.80E-81,3.12E-80
chr2,25042213,25044415,peak_191,808.5035164,-,25042213,25044415,0,3,"770,125,30","0,1379,2172",ADCY3,1012,6805,2.524832825,2.94E-245,4.13E-244
chr12,49162099,49162474,peak_192,215.5277077,-,49162099,49162474,0,1,375,0,ADCY6,215,1814,2.692808115,3.90E-66,1.32E-65
